step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,object-4,0.5,0.5,0.9886415284387294,,How were these tools being used?,"Ancient Andean weaving tools were used in several stages of textile production. As their technology advanced, the loom was introduced which allowed for the weavers to interlace their threads more efficiently than using their hands. Besides the loom, weaving spindles and whorls were used to spin fibers into yarn before weaving. Both men and women learned how to use these tools with certain textiles made by specific genders. ",,Learn more,blank_template-diagram-of-loom.md,,,,,
2,img9166,0.5,0.5,0.9886415284387299,,Why were the textiles created with the tools significant to ancient Andean cultures?,"Ancient Andean weaving tools are often found in archaeological contexts with remnants of textiles attached, primarily because they were buried as funerary offerings intended for the afterlife. Andean textiles were considered more valuable than precious metals and could be used as currency.",,,,,,,,
3,object-image-3,0.5,0.5,0.8707798050277961,,"How did the use of these tools for textile production evolve? ","Textiles could have been made thousands of years ago. Andeans have been weaving patterns into their textiles for thousands of years. The patterns were likely simple at first, getting more complex in design and shape as time passed. Smaller, more elaborate, and shaped patterns likely came a few hundred years later as people began to improve from a young age. Over time, people’s skills will naturally evolve, including their weaving abilities.",,Learn more,blank_template-sourcing-materials.md,,,,,
4,screenshot362026235227docsgooglecom,0.5,0.5,1.0100250000000002,,"Who was using these tools for textile production? ","The textiles turned into garments were made by both men and women, who all learned as children despite rank. Those skilled in weaving even had special titles, the men were called qompikamayoc. The skilled women that made the garments for the Sapa Inka were called akllakuna. These textiles may have been made as a special form of taxes to the state. Especially with the specific designs like geometric, animals, and interlocking patterns. ",,Learn more,blank_template-and-who-wore.md,,,,,
5,object-image-2,0.5,0.5,1.0100250000000002,,"The tools themselves wear small textiles with designs. What could they indicate or represent? "," In general, the textile and yarn found on these weaving tools tell us much about the context from which they come from. The colors of the textiles and yarn indicate “regional and historical identities, age and family groupings, and regional political identities,” while the symbols and stripes may represent “the flow of rivers, stoned walls, or boundary markers.” Scholars Denise Y. Arnold and Elvira Espejo find that “families living at higher altitudes tend to produce more natural undyed colours and use less colour contrasts in their cloth, whereas those at lower altitudes tend to produce sharper colour contrasts with more dyed wool.” The flat, pronged weaving tools include some contrasting textile, which may indicate lower altitude origins. Additionally, the stepped pyramid iconography may be a representation of the mountains and agricultural traditions of the culture. The yarn and textiles on the tools are not only representational, however. For example, on the thinner spindle weaving tools, the yarn pattern has practical use for planning the weaving and color patterns of the product. ",,,,,,,,
6,screenshot762026133644docsgooglecom,0.5246283482503273,0.5170124646742063,0.8999999999999999,,"Bibliography ","References and Sources ",,Learn more,blank_template-full-references.md,,,,,
7,,,,,,"About ","Andean Cultures.
This website was researched and constructed as a final project in Professor Alicia Boswell's course
Art History 130D - Art of the Ancient Andes in Spring 2026",,,,,,,,
