order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,blank_template,Ancient Andean Weaving Tools,,"By: Joscelyne Alvarado, Kiera Isabella Schwartz, Priscilla Rayon, Chole Rico-Dawson, Samual Eljam",,
